| epoch 001 | loss 10.816 | ppl 1803.16 | wps 768 | ups 4.5 | wpb 169 | bsz 11 | num_updates 12217 | lr 0.001 | gnorm 1.935 | clip 0% | oom 0 | wall 2693 | train_wall 2548
| epoch 002 | loss 9.884 | ppl 945.00 | wps 764 | ups 4.5 | wpb 168 | bsz 11 | num_updates 24428 | lr 0.001 | gnorm 1.900 | clip 0% | oom 0 | wall 5414 | train_wall 5097
| epoch 003 | loss 9.534 | ppl 741.42 | wps 774 | ups 4.5 | wpb 170 | bsz 11 | num_updates 36661 | lr 0.001 | gnorm 1.953 | clip 0% | oom 0 | wall 2691 | train_wall 7649
| epoch 004 | loss 9.298 | ppl 629.32 | wps 766 | ups 4.4 | wpb 170 | bsz 11 | num_updates 48894 | lr 0.001 | gnorm 2.009 | clip 0% | oom 0 | wall 5444 | train_wall 10221
| epoch 005 | loss 9.116 | ppl 554.81 | wps 773 | ups 4.5 | wpb 170 | bsz 11 | num_updates 61127 | lr 0.001 | gnorm 2.067 | clip 0% | oom 0 | wall 8173 | train_wall 12772
| epoch 006 | loss 8.969 | ppl 501.02 | wps 766 | ups 4.4 | wpb 170 | bsz 11 | num_updates 73360 | lr 0.001 | gnorm 2.125 | clip 0% | oom 0 | wall 10927 | train_wall 15346
| epoch 007 | loss 8.842 | ppl 458.90 | wps 772 | ups 4.5 | wpb 170 | bsz 11 | num_updates 85593 | lr 0.001 | gnorm 2.181 | clip 0% | oom 0 | wall 13659 | train_wall 17906
| epoch 008 | loss 8.731 | ppl 424.92 | wps 765 | ups 4.4 | wpb 170 | bsz 11 | num_updates 97826 | lr 0.001 | gnorm 2.246 | clip 0% | oom 0 | wall 16416 | train_wall 20479
| epoch 009 | loss 8.629 | ppl 396.02 | wps 771 | ups 4.5 | wpb 170 | bsz 11 | num_updates 110059 | lr 0.001 | gnorm 2.309 | clip 0% | oom 0 | wall 19152 | train_wall 23041
| epoch 010 | loss 8.536 | ppl 371.21 | wps 766 | ups 4.4 | wpb 170 | bsz 11 | num_updates 122292 | lr 0.001 | gnorm 2.377 | clip 0% | oom 0 | wall 21902 | train_wall 25613
| epoch 011 | loss 8.451 | ppl 349.99 | wps 770 | ups 4.5 | wpb 170 | bsz 11 | num_updates 134525 | lr 0.001 | gnorm 2.448 | clip 0% | oom 0 | wall 24643 | train_wall 28178
